symbol,shortName,sector,industry,marketCap,Market_Cap_B,trailingEps,forwardEps,trailingPE,forwardPE,priceToBook,ROE_%,ROA_%,debtToEquity,Dividend_Yield_%,beta,52W_High,52W_Low
AADI,Adaro Andalan Indonesia Tbk.,Energy,Thermal Coal,62100462370816.0,62100.462370816,1555.2,,5.127958,82711.055,17921.348,22.769000000000002,7.510000499999999,27.582,,,11375.0,5575.0
ABBA,Mahaka Media Tbk.,Communication Services,Publishing,224345882624.0,224.345882624,-1.45,,,,4.8747115,,1.8319999999999999,,,-0.593,97.0,16.0
ABDA,Asuransi Bina Dana Arta Tbk.,Financial Services,Insurance - Property & Casualty,1583056945152.0,1583.056945152,169.07,,15.08251,,0.9516623,6.563000400000001,2.7579999,,,-0.283,4060.0,2550.0
ABMM,ABM Investama Tbk.,Energy,Thermal Coal,8452216717312.0,8452.216717312,424.38,,7.2340827,,9839.743,8.2600005,0.7779999999999999,115.016,503.0,-0.844,3700.0,2550.0
ACES,Aspirasi Hidup Indonesia Tbk.,Consumer Cyclical,Specialty Retail,7340200296448.0,7340.200296448,46.44,57.45,9.216193,7.4499564,1.1490272,12.577,8.118,15.696,791.0,0.211,835.0,412.0
ACRO,Samcro Hyosung Adilestari Tbk.,Consumer Cyclical,Apparel Manufacturing,329574121472.0,329.574121472,,,,,1.7154827,4.7199998,2.894,22.559,2458.0,,131.0,50.0
ACST,Acset Indonusa Tbk.,Industrials,Engineering & Construction,2315445862400.0,2315.4458624,-27.0,,,,10.18821,-187.777,-3.63,727.154,,0.465,204.0,64.0
ADCP,Adhi Commuter Properti Tbk.,Real Estate,Real Estate - Development,1222222151680.0,1222.22215168,0.35,,157.14285,,0.45757833,0.29499999,0.10899999,47.994,,,75.0,50.0
ADES,Akasha Wira International Tbk.,Consumer Defensive,Beverages - Non-Alcoholic,8848452616192.0,8848.452616192,1128.5,,13.291981,,3.2211742,27.583997999999998,17.063,0.001,,0.425,16900.0,8850.0
ADHI,Adhi Karya (Persero) Tbk,Industrials,Engineering & Construction,2169163087872.0,2169.163087872,22.32,229.87,11.55914,1.1223736,0.23979636,2.2090001000000004,1.1280000000000001,87.755,,0.487,318.0,150.0
ADMF,Adira Dinamika Multi Finance Tb,Financial Services,Credit Services,10820044980224.0,10820.044980224,1233.74,,7.153047,,0.74893266,10.748999600000001,3.746,151.896,797.0,0.293,10525.0,8400.0
ADMG,Polychem Indonesia Tbk,Basic Materials,Chemicals,633936281600.0,633.9362816,-20.1,,,,5433.3335,-4.1729997999999995,-1.101,0.072,,0.256,186.0,96.0
ADMR,Alamtri Minerals Indonesia Tbk.,Basic Materials,Coking Coal,53147032616960.0,53147.03261696,127.3,172.12,10.212097,7.5528703,35135.133,20.18,10.1210006,35.836,369.0,0.135,1540.0,700.0
ADRO,Alamtri Resources Indonesia Tbk,Energy,Thermal Coal,55100626173952.0,55100.626173952,230.11,516.36,8.213463,3.660237,11739.131,6.7909999999999995,3.611,14.189,1453.0,-0.383,3820.0,1600.0
AEGS,Anugerah Spareparts Sejahtera T,Consumer Cyclical,Auto Parts,88535105536.0,88.535105536,,,,,1.2862676,0.8719999,0.881,3.811,,1.678,101.0,24.0
AGAR,Asia Sejahtera Mina Tbk.,Consumer Defensive,Farm Products,236000002048.0,236.000002048,1.99,,118.592964,,2.6222222,1.9550001000000001,2.121,43.908,,,344.0,172.0
AGII,Samator Indo Gas Tbk.,Basic Materials,Chemicals,3879325138944.0,3879.325138944,27.96,,45.243206,,1.0404732,2.3239998,3.0350002000000003,97.005,68.0,-0.293,1950.0,675.0
AGRO,Bank Raya Indonesia Tbk.,Financial Services,Banks - Regional,5591351689216.0,5591.351689216,2.39,1.9,94.56067,118.94737,1.5731261,1.688,0.447,,,,272.0,155.0
AGRS,Bank IBK Indonesia Tbk.,Financial Services,Banks - Regional,3446235725824.0,3446.235725824,4.01,,17.95511,,0.59352076,3.621,0.9690000000000001,,,0.631,93.0,54.0
AHAP,Asuransi Harta Aman Pratama Tbk,Financial Services,Insurance - Property & Casualty,529199988736.0,529.199988736,-2.968,,,,2.4555502,-1.086,-0.557,13.92,,-0.104,113.0,53.0
AIMS,Artha Mahiya Investama Tbk.,Energy,Thermal Coal,81399996416.0,81.399996416,18.653,,19.83595,,489.418,-141.03,-11.727,1203.574,,1.479,575.0,250.0
AISA,FKS Food Sejahtera Tbk.,Consumer Defensive,Packaged Foods,536606539776.0,536.606539776,10.0,,14.1,,1.1697556,8.652999999999999,4.6479996,21.347,,0.343,183.0,93.0
AKKU,Anugerah Kagum Karya Utama Tbk.,Consumer Cyclical,Lodging,232180695040.0,232.18069504,0.113,,318.58408,,0.55163115,-2.121,-0.072999997,16.885,,0.557,50.0,12.0
AKPI,Argha Karya Prima Industry Tbk.,Consumer Cyclical,Packaging & Containers,355103834112.0,355.103834112,10.98,,52.82332,,0.19730939,0.40599997,1.625,73.03,143.0,0.396,740.0,476.0
AKRA,AKR Corporindo Tbk,Energy,Oil & Gas Refining & Marketing,26135695982592.0,26135.695982592,121.86,141.11,10.832103,9.354404,2.3172572,19.105,5.75,35.665,743.0,-0.44,1430.0,890.0
